name,texto,cluster_textclass
Goblin Bird-Grabber,{R}: Goblin Bird-Grabber gains flying until end of turn. Activate only if you control a creature with flying.,404
Goblin Smuggler,Haste (This creature can attack and {T} as soon as it comes under your control.){T}: Another target creature with power 2 or less can’t be blocked this turn.,481
Lavakin Brawler,"Whenever Lavakin Brawler attacks, it gets +1/+0 until end of turn for each Elemental you control.",23
Pack Mastiff,{1}{R}: Each creature you control named Pack Mastiff gets +1/+0 until end of turn.,515
Scampering Scorcher,"When Scampering Scorcher enters the battlefield, create two 1/1 red Elemental creature tokens. Elementals you control gain haste until end of turn. (They can attack and {T} this turn.)",275
Scorch Spitter,"Whenever Scorch Spitter attacks, it deals 1 damage to the player or planeswalker it’s attacking.",364
Thunderkin Awakener,"HasteWhenever Thunderkin Awakener attacks, choose target Elemental creature card in your graveyard with toughness less than Thunderkin Awakener’s toughness. Return that card to the battlefield tapped and attacking. Sacrifice it at the beginning of the next end step.",457
Unchained Berserker,"Protection from white (This creature can’t be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)Unchained Berserker gets +2/+0 as long as it’s attacking.",118
Barkhide Troll,"Barkhide Troll enters the battlefield with a +1/+1 counter on it.{1}, Remove a +1/+1 counter from Barkhide Troll: Barkhide Troll gains hexproof until end of turn. (It can’t be the target of spells or abilities your opponents control.)",122
Brightwood Tracker,"{5}{G}, {T}: Look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",337
Cavalier of Thorns,"ReachWhen Cavalier of Thorns enters the battlefield, reveal the top five cards of your library. Put a land card from among them onto the battlefield and the rest into your graveyard.When Cavalier of Thorns dies, you may exile it. If you do, put another target card from your graveyard on top of your library.",117
Elvish Reclaimer,"Elvish Reclaimer gets +2/+2 as long as there are three or more land cards in your graveyard.{2}, {T}, Sacrifice a land: Search your library for a land card, put it onto the battlefield tapped, then shuffle.",525
"Gargos, Vicious Watcher","VigilanceHydra spells you cast cost {4} less to cast.Whenever a creature you control becomes the target of a spell, Gargos, Vicious Watcher fights up to one target creature you don’t control.",62
Healer of the Glade,"When Healer of the Glade enters the battlefield, you gain 3 life.",391
Howling Giant,"Reach (This creature can block creatures with flying.)When Howling Giant enters the battlefield, create two 2/2 green Wolf creature tokens.",518
Leafkin Druid,"{T}: Add {G}. If you control four or more creatures, add {G}{G} instead.",299
Overgrowth Elemental,"When Overgrowth Elemental enters the battlefield, put a +1/+1 counter on another target Elemental you control.Whenever another creature you control dies, you gain 1 life. If that creature was an Elemental, put a +1/+1 counter on Overgrowth Elemental.",78
Sedge Scorpion,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),250
Thicket Crasher,Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.)Other Elementals you control have trample.,213
Voracious Hydra,"TrampleVoracious Hydra enters the battlefield with X +1/+1 counters on it.When Voracious Hydra enters the battlefield, choose one —• Double the number of +1/+1 counters on Voracious Hydra.• Voracious Hydra fights target creature you don’t control.",358
Wakeroot Elemental,{G}{G}{G}{G}{G}: Untap target land you control. It becomes a 5/5 Elemental creature with haste. It’s still a land. (This effect lasts as long as that land remains on the battlefield.),187
Corpse Knight,"Whenever another creature enters the battlefield under your control, each opponent loses 1 life.",31
Creeping Trailblazer,Other Elementals you control get +1/+0.{2}{R}{G}: Creeping Trailblazer gets +1/+1 until end of turn for each Elemental you control.,97
"Kaalia, Zenith Seeker","Flying, vigilanceWhen Kaalia, Zenith Seeker enters the battlefield, look at the top six cards of your library. You may reveal an Angel card, a Demon card, and/or a Dragon card from among them and put them into your hand. Put the rest on the bottom of your library in a random order.",248
"Kethis, the Hidden Hand","Legendary spells you cast cost {1} less to cast.Exile two legendary cards from your graveyard: Until end of turn, each legendary card in your graveyard gains “You may play this card from your graveyard.”",128
Lightning Stormkin,FlyingHaste (This creature can attack and {T} as soon as it comes under your control.),11
Ogre Siegebreaker,{2}{B}{R}: Destroy target creature that was dealt damage this turn.,136
"Omnath, Locus of the Roil","When Omnath, Locus of the Roil enters the battlefield, it deals damage to any target equal to the number of Elementals you control.Landfall — Whenever a land enters the battlefield under your control, put a +1/+1 counter on target Elemental you control. If you control eight or more lands, draw a card.",270
Risen Reef,"Whenever Risen Reef or another Elemental enters the battlefield under your control, look at the top card of your library. If it’s a land card, you may put it onto the battlefield tapped. If you don’t put the card onto the battlefield, put it into your hand.",32
Skyknight Vanguard,"FlyingWhenever Skyknight Vanguard attacks, create a 1/1 white Soldier creature token that’s tapped and attacking.",352
Tomebound Lich,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)Lifelink (Damage dealt by this creature also causes you to gain that much life.)Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card.",16
"Yarok, the Desecrated","Deathtouch, lifelinkIf a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",96
Anvilwrought Raptor,FlyingFirst strike (This creature deals combat damage before creatures without first strike.),464
Diamond Knight,"Vigilance (Attacking doesn’t cause this creature to tap.)As Diamond Knight enters the battlefield, choose a color.Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.",54
"Golos, Tireless Pilgrim","When Golos, Tireless Pilgrim enters the battlefield, you may search your library for a land card, put that card onto the battlefield tapped, then shuffle.{2}{W}{U}{B}{R}{G}: Exile the top three cards of your library. You may play them this turn without paying their mana costs.",525
Pattern Matcher,"When Pattern Matcher enters the battlefield, you may search your library for a card with the same name as another creature you control, reveal it, put it into your hand, then shuffle.",141
Prismite,{2}: Add one mana of any color.,212
Salvager of Ruin,Sacrifice Salvager of Ruin: Choose target permanent card in your graveyard that was put there from the battlefield this turn. Return it to your hand.,418
Goldmane Griffin,"Flying, vigilanceWhen Goldmane Griffin enters the battlefield, you may search your library and/or graveyard for a card named Ajani, Inspiring Leader, reveal it, and put it into your hand. If you search your library this way, shuffle.",141
Twinblade Paladin,"Whenever you gain life, put a +1/+1 counter on Twinblade Paladin.As long as you have 25 or more life, Twinblade Paladin has double strike. (It deals both first-strike and regular combat damage.)",479
Celestial Messenger,Flash (You may cast this card any time you could cast an instant.)FlyingCelestial Messenger gets +1/+1 as long as you control a Yanling planeswalker.,13
Waterkin Shaman,"Whenever a creature with flying enters the battlefield under your control, Waterkin Shaman gets +1/+1 until end of turn.",108
Yanling's Harbinger,"FlyingWhen Yanling’s Harbinger enters the battlefield, you may search your library and/or graveyard for a card named Mu Yanling, Celestial Wind, reveal it, and put it into your hand. If you search your library this way, shuffle.",1
Savage Gorger,"FlyingAt the beginning of your end step, if an opponent lost life this turn, put a +1/+1 counter on Savage Gorger. (Damage causes loss of life.)",308
Sorin's Guide,"When Sorin’s Guide enters the battlefield, you may search your library and/or graveyard for a card named Sorin, Vampire Lord, reveal it, and put it into your hand. If you search your library this way, shuffle.",141
Thirsting Bloodlord,Other Vampires you control get +1/+1.,279
Ethereal Elk,"TrampleWhen Ethereal Elk enters the battlefield, you may search your library and/or graveyard for a card named Vivien, Nature’s Avenger, reveal it, and put it into your hand. If you search your library this way, shuffle.",482
Vivien's Crocodile,Vivien’s Crocodile gets +1/+1 as long as you control a Vivien planeswalker.,375
Concordia Pegasus,Flying,21
Haazda Officer,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn.",97
Impassioned Orator,"Whenever another creature enters the battlefield under your control, you gain 1 life.",78
Trusted Pegasus,"Flying (This creature can’t be blocked except by creatures with flying or reach.)Whenever Trusted Pegasus attacks, target attacking creature without flying gains flying until end of turn.",104
Vampire Opportunist,{6}{B}: Each opponent loses 2 life and you gain 2 life.,441
Nimble Birdsticker,Reach (This creature can block creatures with flying.),225
Rubblebelt Recluse,Rubblebelt Recluse attacks each combat if able.,500
Woodland Mystic,{T}: Add {G}.,299
Alpine Watchdog,Vigilance (Attacking doesn’t cause this creature to tap.),54
Anointed Chorister,Lifelink (Damage dealt by this creature also causes you to gain that much life.){4}{W}: Anointed Chorister gets +3/+3 until end of turn.,94
Aven Gagglemaster,"FlyingWhen Aven Gagglemaster enters the battlefield, you gain 2 life for each creature you control with flying.",209
Basri's Lieutenant,"Vigilance, protection from multicoloredWhen Basri’s Lieutenant enters the battlefield, put a +1/+1 counter on target creature you control.Whenever Basri’s Lieutenant or another creature you control dies, if it had a +1/+1 counter on it, create a 2/2 white Knight creature token with vigilance.",267
Celestial Enforcer,"{1}{W}, {T}: Tap target creature. Activate only if you control a creature with flying.",27
Falconer Adept,"Whenever Falconer Adept attacks, create a 1/1 white Bird creature token with flying that’s tapped and attacking.",352
Gale Swooper,"FlyingWhen Gale Swooper enters the battlefield, target creature gains flying until end of turn.",404
Makeshift Battalion,"Battalion — Whenever Makeshift Battalion and at least two other creatures attack, put a +1/+1 counter on Makeshift Battalion.",349
Pack Leader,"Ascendant Packleader enters the battlefield with a +1/+1 counter on it if you control a permanent with mana value 4 or greater.Whenever you cast a spell with mana value 4 or greater, put a +1/+1 counter on Ascendant Packleader.",205
Seasoned Hallowblade,Discard a card: Tap Seasoned Hallowblade. It gains indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy it.),376
Selfless Savior,Sacrifice Selfless Savior: Another target creature you control gains indestructible until end of turn. (Damage and effects that say “destroy” don’t destroy it.),376
Siege Striker,"Double strike (This creature deals both first-strike and regular combat damage.)Whenever Siege Striker attacks, you may tap any number of untapped creatures you control. Siege Striker gets +1/+1 until end of turn for each creature tapped this way.",278
Speaker of the Heavens,"Vigilance, lifelink{T}: Create a 4/4 white Angel creature token with flying. Activate only if you have at least 7 life more than your starting life total and only as a sorcery.",30
Vryn Wingmare,FlyingNoncreature spells cost {1} more to cast.,128
Warded Battlements,Defender (This creature can’t attack.)Attacking creatures you control get +1/+0.,477
Ghostly Pilferer,"Whenever Ghostly Pilferer becomes untapped, you may pay {2}. If you do, draw a card.Whenever an opponent casts a spell from anywhere other than their hand, draw a card.Discard a card: Ghostly Pilferer can’t be blocked this turn.",400
Keen Glidemaster,{2}{U}: Target creature gains flying until end of turn.,404
Mistral Singer,"FlyingProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",13
Roaming Ghostlight,"FlyingWhen Roaming Ghostlight enters the battlefield, return up to one target non-Spirit creature to its owner’s hand.",520
Shacklegeist,"FlyingAt the beginning of combat on your turn, choose up to one —• Tap target creature.• Target creature doesn’t untap during its controller’s next untap step.",392
Spined Megalodon,"Hexproof (This creature can’t be the target of spells or abilities your opponents control.)Whenever Spined Megalodon attacks, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",227
Stormwing Entity,"This spell costs {2}{U} less to cast if you’ve cast an instant or sorcery spell this turn.FlyingProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)When Stormwing Entity enters the battlefield, scry 2.",315
Tide Skimmer,"FlyingWhenever you attack with two or more creatures with flying, draw a card.",253
Waker of Waves,"Creatures your opponents control get -1/-0.{1}{U}, Discard Waker of Waves: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",35
Wall of Runes,"Defender (This creature can’t attack.)When Wall of Runes enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",529
Archfiend's Vessel,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)When Archfiend’s Vessel enters the battlefield, if it entered from your graveyard or you cast it from your graveyard, exile it. If you do, create a 5/5 black Demon creature token with flying.",94
Blood Glutton,Lifelink (Damage dealt by this creature also causes you to gain that much life.),94
Caged Zombie,"{1}{B}, {T}: Each opponent loses 2 life. Activate only if a creature died this turn.",441
Crypt Lurker,"When Crypt Lurker enters the battlefield, you may sacrifice a creature or discard a creature card. If you do, draw a card.",185
Gloom Sower,"Whenever Gloom Sower becomes blocked by a creature, that creature’s controller loses 2 life and you gain 2 life.",78
Hooded Blightfang,"DeathtouchWhenever a creature you control with deathtouch attacks, each opponent loses 1 life and you gain 1 life.Whenever a creature you control with deathtouch deals damage to a planeswalker, destroy that planeswalker.",96
"Kaervek, the Spiteful",Other creatures get -1/-1.,132
Kitesail Freebooter,"FlyingWhen Kitesail Freebooter enters the battlefield, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield.",520
Liliana's Devotee,"Zombies you control get +1/+0.At the beginning of your end step, if a creature died this turn, you may pay {1}{B}. If you do, create a 2/2 black Zombie creature token.",151
Liliana's Standard Bearer,"FlashWhen Liliana’s Standard Bearer enters the battlefield, draw X cards, where X is the number of creatures that died under your control this turn.",238
Masked Blackguard,Flash (You may cast this spell any time you could cast an instant.){2}{B}: Masked Blackguard gets +1/+1 until end of turn.,220
Thieves' Guild Enforcer,"FlashWhenever Thieves’ Guild Enforcer or another Rogue enters the battlefield under your control, each opponent mills two cards.As long as an opponent has eight or more cards in their graveyard, Thieves’ Guild Enforcer gets +2/+1 and has deathtouch.",460
Bone Pit Brute,"Menace (This creature can’t be blocked except by two or more creatures.)When Bone Pit Brute enters the battlefield, target creature gets +4/+0 until end of turn.",234
Chandra's Incinerator,"This spell costs {X} less to cast, where X is the total amount of noncombat damage dealt to your opponents this turn.TrampleWhenever a source you control deals noncombat damage to an opponent, Chandra’s Incinerator deals that much damage to target creature or planeswalker that player controls.",439
Conspicuous Snoop,"Play with the top card of your library revealed.You may cast Goblin spells from the top of your library.As long as the top card of your library is a Goblin card, Conspicuous Snoop has all activated abilities of that card.",106
Heartfire Immolator,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.){R}, Sacrifice Heartfire Immolator: It deals damage equal to its power to target creature or planeswalker.",52
Hellkite Punisher,Flying{R}: Hellkite Punisher gets +1/+0 until end of turn.,348
Hobblefiend,"Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.){1}, Sacrifice another creature: Put a +1/+1 counter on Hobblefiend.",427
Igneous Cur,{1}{R}: Igneous Cur gets +2/+0 until end of turn.,372
Terror of the Peaks,"FlyingSpells your opponents cast that target Terror of the Peaks cost an additional 3 life to cast.Whenever another creature enters the battlefield under your control, Terror of the Peaks deals damage equal to that creature’s power to any target.",77
Turret Ogre,"Reach (This creature can block creatures with flying.)When Turret Ogre enters the battlefield, if you control another creature with power 4 or greater, Turret Ogre deals 2 damage to each opponent.",518
Burlfist Oak,"Whenever you draw a card, Burlfist Oak gets +2/+2 until end of turn.",372
Canopy Stalker,"Canopy Stalker must be blocked if able.When Canopy Stalker dies, you gain 1 life for each creature that died this turn.",78
Elder Gargaroth,"Vigilance, reach, trampleWhenever Elder Gargaroth attacks or blocks, choose one —• Create a 3/3 green Beast creature token.• You gain 3 life.• Draw a card.",120
Feline Sovereign,"Other Cats you control get +1/+1 and have protection from Dogs.Whenever one or more Cats you control deal combat damage to a player, destroy up to one target artifact or enchantment that player controls.",239
Garruk's Harbinger,"Hexproof from blackWhenever Garruk’s Harbinger deals combat damage to a player or planeswalker, look at that many cards from the top of your library. You may reveal a creature card or Garruk planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",141
Gnarled Sage,"Reach (This creature can block creatures with flying.)As long as you’ve drawn two or more cards this turn, Gnarled Sage gets +0/+2 and has vigilance. (Attacking doesn’t cause it to tap.)",114
Llanowar Visionary,"When Llanowar Visionary enters the battlefield, draw a card.{T}: Add {G}.",238
Sabertooth Mauler,"At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on Sabertooth Mauler and untap it.",508
Skyway Sniper,Reach (This creature can block creatures with flying.){2}{G}: Skyway Sniper deals 1 damage to target creature with flying.,518
Sporeweb Weaver,"Reach, hexproof from blueWhenever Sporeweb Weaver is dealt damage, you gain 1 life and create a 1/1 green Saproling creature token.",142
Trufflesnout,"Whenever Intrepid Trufflesnout attacks alone, create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”)",311
Warden of the Woods,"Vigilance (Attacking doesn’t cause this creature to tap.)Whenever Warden of the Woods becomes the target of a spell or ability an opponent controls, you may draw two cards.",54
Alpine Houndmaster,"When Alpine Houndmaster enters the battlefield, you may search your library for a card named Alpine Watchdog and/or a card named Igneous Cur, reveal them, put them into your hand, then shuffle.Whenever Alpine Houndmaster attacks, it gets +X/+0 until end of turn, where X is the number of other attacking creatures.",349
Dire Fleet Warmonger,"At the beginning of combat on your turn, you may sacrifice another creature. If you do, Dire Fleet Warmonger gets +2/+2 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it’s attacking.)",189
Indulging Patrician,"FlyingLifelink (Damage dealt by this creature also causes you to gain that much life.)At the beginning of your end step, if you gained 3 or more life this turn, each opponent loses 3 life.",94
Leafkin Avenger,{T}: Add {G} for each creature with power 4 or greater you control.{7}{R}: Leafkin Avenger deals damage equal to its power to target player or planeswalker.,364
"Niambi, Esteemed Speaker","FlashWhen Niambi, Esteemed Speaker enters the battlefield, you may return another target creature you control to its owner’s hand. If you do, you gain life equal to that creature’s mana value.{1}{W}{U}, {T}, Discard a legendary card: Draw two cards.",53
"Radha, Heart of Keld","As long as it’s your turn, Radha, Heart of Keld has first strike.You may look at the top card of your library any time, and you may play lands from the top of your library.{4}{R}{G}: Radha gets +X/+X until end of turn, where X is the number of lands you control.",412
Watcher of the Spheres,"FlyingCreature spells with flying you cast cost {1} less to cast.Whenever another creature with flying enters the battlefield under your control, Watcher of the Spheres gets +1/+1 until end of turn.",315
Chrome Replicator,"When Chrome Replicator enters the battlefield, if you control two or more nonland, nontoken permanents with the same name as one another, create a 4/4 colorless Construct artifact creature token.",257
Epitaph Golem,{2}: Put target card from your graveyard on the bottom of your library.,337
Forgotten Sentinel,Forgotten Sentinel enters the battlefield tapped.,336
Sparkhunter Masticore,"As an additional cost to cast this spell, discard a card.Protection from planeswalkers{1}: Sparkhunter Masticore deals 1 damage to target planeswalker.{3}: Sparkhunter Masticore gains indestructible until end of turn.",379
"Rin and Seri, Inseparable","Whenever you cast a Dog spell, create a 1/1 green Cat creature token.Whenever you cast a Cat spell, create a 1/1 white Dog creature token.{R}{G}{W}, {T}: Rin and Seri, Inseparable deals damage to any target equal to the number of Dogs you control. You gain life equal to the number of Cats you control.",239
Adherent of Hope,"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.",431
Sigiled Contender,Sigiled Contender has lifelink as long as it has a +1/+1 counter on it. (Damage dealt by this creature also causes you to gain that much life.),16
Historian of Zhalfir,"Whenever Historian of Zhalfir attacks, if you control a Teferi planeswalker, draw a card.",238
Teferi's Wavecaster,"FlashWhen Teferi’s Wavecaster enters the battlefield, you may search your library and/or graveyard for a card named Teferi, Timeless Voyager, reveal it, and put it into your hand. If you search your library this way, shuffle.",141
Liliana's Scrounger,"At the beginning of each end step, if a creature died this turn, you may put a loyalty counter on a Liliana planeswalker you control.",524
Spirit of Malevolence,"When Spirit of Malevolence dies, each opponent loses 1 life and you gain 1 life.",31
Chandra's Firemaw,"HasteWhen Chandra’s Firemaw enters the battlefield, you may search your library and/or graveyard for a card named Chandra, Flame’s Catalyst, reveal it, and put it into your hand. If you search your library this way, shuffle.",141
Keral Keep Disciples,"Whenever you activate a loyalty ability of a Chandra planeswalker, Keral Keep Disciples deals 1 damage to each opponent.",465
Garruk's Warsteed,"VigilanceWhen Garruk’s Warsteed enters the battlefield, you may search your library and/or graveyard for a card named Garruk, Savage Herald, reveal it, and put it into your hand. If you search your library this way, shuffle.",141
Predatory Wurm,Vigilance (Attacking doesn’t cause this creature to tap.)Predatory Wurm gets +2/+2 as long as you control a Garruk planeswalker.,54
Wildwood Patrol,Trample (This creature can deal excess combat damage to the player or planeswalker it’s attacking.),427
Coppercoat Vanguard,"Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",290
Harnessed Snubhorn,"VigilanceWhenever Harnessed Snubhorn deals combat damage to a player, return target artifact or enchantment card from your graveyard to the battlefield.",248
Metropolis Reformer,"Flying, vigilanceYou have hexproof.Whenever Metropolis Reformer is dealt damage, you gain that much life.",472
"Tazri, Stalwart Survivor","Each creature you control has “{T}: Add one mana of any of this creature’s colors. Spend this mana only to activate an ability of a creature. Activate only if this creature has another activated ability.”{W}{U}{B}{R}{G}, {T}: Mill five cards. Put all creature cards with activated abilities that aren’t mana abilities from among the milled cards into your hand.",42
Vesuvan Drifter,"FlyingYou may look at the top card of your library any time.At the beginning of each combat, you may reveal the top card of your library. If you reveal a creature card this way, Vesuvan Drifter becomes a copy of that card until end of turn, except it has flying.",489
Ayara's Oathsworn,"MenaceWhenever Ayara’s Oathsworn deals combat damage to a player, if it has fewer than four +1/+1 counters on it, put a +1/+1 counter on it. Then if it has exactly four +1/+1 counters on it, search your library for a card, put it into your hand, then shuffle.",445
Death-Rattle Oni,"FlashThis spell costs {2} less to cast for each creature that died this turn.When Death-Rattle Oni enters the battlefield, destroy all other creatures that were dealt damage this turn.",37
Markov Baron,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature’s color.)LifelinkOther Vampires you control get +1/+1.Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",450
Urborg Scavengers,"Whenever Urborg Scavengers enters the battlefield or attacks, exile target card from a graveyard. Put a +1/+1 counter on Urborg Scavengers.Urborg Scavengers has flying as long as a card exiled with it has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance.",153
Arni Metalbrow,"Whenever a creature you control attacks or a creature enters the battlefield under your control attacking, you may pay {1}{R}. If you do, you may put a creature card with mana value less than that creature’s mana value from your hand onto the battlefield tapped and attacking.",478
Kolaghan Warmonger,"HasteWhenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",46
Plargg and Nassari,"At the beginning of your upkeep, each player exiles cards from the top of their library until they exile a nonland card. An opponent chooses a nonland card exiled this way. You may cast up to two spells from among the other cards exiled this way without paying their mana costs.",117
"Nissa, Resurgent Animist","Landfall — Whenever a land enters the battlefield under your control, add one mana of any color. Then if this is the second time this ability has resolved this turn, reveal cards from the top of your library until you reveal an Elf or Elemental card. Put that card into your hand and the rest on the bottom of your library in a random order.",270
Tranquil Frillback,"When Tranquil Frillback enters the battlefield, you may pay {G} up to three times. When you pay this cost one or more times, choose up to that many —• Destroy target artifact or enchantment.• Exile target player’s graveyard.• You gain 4 life.",264
"Calix, Guided by Fate","Constellation — Whenever Calix, Guided by Fate or another enchantment enters the battlefield under your control, put a +1/+1 counter on target creature.Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that’s a copy of a nonlegendary enchantment you control. Do this only once each turn.",218
"Danitha, New Benalia's Light","Vigilance, trample, lifelinkOnce during each of your turns, you may cast an Aura or Equipment spell from your graveyard.",248
Gold-Forged Thopteryx,"Flying, lifelinkEach legendary permanent you control has ward {2}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",290
"Jirina, Dauntless General","When Jirina, Dauntless General enters the battlefield, exile target player’s graveyard.Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn.",338
"Jolrael, Voice of Zhalfir","At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It’s still a land.Whenever a land creature you control deals combat damage to a player, draw a card.",187
"Kiora, Sovereign of the Deep","Vigilance, ward {3}Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell’s mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.",294
"Nahiri, Forged in Fury","Affinity for Equipment (This spell costs {1} less to cast for each Equipment you control.)Whenever an equipped creature you control attacks, exile the top card of your library. You may play that card this turn. You may cast Equipment spells this way without paying their mana costs.",204
"Narset, Enlightened Exile","Creatures you control have prowess.Whenever Narset, Enlightened Exile attacks, exile target noncreature, nonland card with mana value less than Narset’s power from a graveyard and copy it. You may cast the copy without paying its mana cost.",69
"Nashi, Moon's Legacy","Menace, ward {1}Whenever Nashi, Moon’s Legacy attacks, exile up to one target legendary or Rat card from your graveyard and copy it. You may cast the copy. (You still pay its costs. A copy of a permanent spell becomes a token.)",70
"Niv-Mizzet, Supreme","Flying, hexproof from monocoloredEach instant and sorcery card in your graveyard that’s exactly two colors has jump-start. (You may cast that card from your graveyard by discarding a card in addition to paying its other costs. Then exile it.)",220
"Ob Nixilis, Captive Kingpin","Flying, trampleWhenever one or more opponents each lose exactly 1 life, put a +1/+1 counter on Ob Nixilis, Captive Kingpin. Exile the top card of your library. Until your next end step, you may play that card.",79
"Pia Nalaar, Consul of Revival","Thopters you control have haste.Whenever you play a land from exile or cast a spell from exile, create a 1/1 colorless Thopter artifact creature token with flying.",38
"Rocco, Street Chef","At the beginning of your end step, each player exiles the top card of their library. Until your next end step, each player may play the card they exiled this way.Whenever a player plays a land from exile or casts a spell from exile, you put a +1/+1 counter on target creature and create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”)",69
"Samut, Vizier of Naktamun","First strike, vigilance, hasteWhenever a creature you control deals combat damage to a player, if that creature entered the battlefield this turn, draw a card.",118
"Sarkhan, Soul Aflame","Dragon spells you cast cost {1} less to cast.Whenever a Dragon enters the battlefield under your control, you may have Sarkhan, Soul Aflame become a copy of it until end of turn, except its name is Sarkhan, Soul Aflame and it’s legendary in addition to its other types.",128
"Sigarda, Font of Blessings",FlyingOther permanents you control have hexproof.You may look at the top card of your library any time.You may cast Angel spells and Human spells from the top of your library.,210
Tyvar the Bellicose,"Whenever one or more Elves you control attack, they gain deathtouch until end of turn.Each creature you control has “Whenever a mana ability of this creature resolves, put a number of +1/+1 counters on it equal to the amount of mana this creature produced. This ability triggers only once each turn.”",96
Accorder Paladin,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)",84
Ardent Recruit,Metalcraft — Ardent Recruit gets +2/+2 as long as you control three or more artifacts.,426
Gore Vassal,"Sacrifice Gore Vassal: Put a -1/-1 counter on target creature. Then if that creature’s toughness is 1 or greater, regenerate it.",162
Hero of Bladehold,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)Whenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.",84
Tine Shrike,FlyingInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),519
Cryptoplasm,"At the beginning of your upkeep, you may have Cryptoplasm become a copy of another target creature, except it has this ability.",329
Mirran Spy,"FlyingWhenever you cast an artifact spell, you may untap target creature.",476
Neurok Commando,"Shroud (This creature can’t be the target of spells or abilities.)Whenever Neurok Commando deals combat damage to a player, you may draw a card.",3
Oculus,{1}{G}: Frilled Oculus gets +2/+2 until end of turn. Activate only once each turn.,99
Serum Raker,"FlyingWhen Serum Raker dies, each player discards a card.",263
Spire Serpent,"DefenderMetalcraft — As long as you control three or more artifacts, Spire Serpent gets +2/+2 and can attack as though it didn’t have defender.",428
Vedalken Anatomist,"{2}{U}, {T}: Put a -1/-1 counter on target creature. You may tap or untap that creature.",471
Caustic Hound,"When Caustic Hound dies, each player loses 4 life.",25
Flensermite,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)Lifelink (Damage dealt by this creature also causes you to gain that much life.),94
Flesh-Eater Imp,FlyingInfect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)Sacrifice a creature: Flesh-Eater Imp gets +1/+1 until end of turn.,519
Scourge Servant,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),519
Septic Rats,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)Whenever Septic Rats attacks, if defending player is poisoned, it gets +1/+1 until end of turn.",355
